Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Nasikhudin, Diantoro, M., Kusumaatmaja, A., Triyana, K.","56069582000; 6603239845; 55696458300; 8597558700","Enhancing photocatalytic performance by sonication and surfactant addition on the synthesis process of PVA/TiO<inf>2</inf>nanofibers membranes by electrospinning method",2020,"AIP Conference Proceedings",2251,"", 040045,,,,,10.1063/5.0017654,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091568240&partnerID=40&md5=c459b7838dea9029d11ca7b568e60c95",Conference Paper,Final,,Scopus,2-s2.0-85091568240
"Maryani, Suryatmojo, H., Imron, M.A., Saputra, N., Saliqin, D., Arfri, R.A., Satriagasa, M.C.","57202285294; 55347164800; 56971302500; 57215010539; 57218922823; 57218920943; 57201773658","Relation of groundwater level and rainfalls in the peat swamp forest, burned peatland and mixed plantation areas of Kampar Peninsula, Riau Province",2020,"IOP Conference Series: Earth and Environmental Science",533,"1", 012012,,,,,10.1088/1755-1315/533/1/012012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090777492&partnerID=40&md5=cf02d2d6a7a3b931ccac9a8928dd4390",Conference Paper,Final,Open Access,Scopus,2-s2.0-85090777492
"Surahmanto, F., Saptoadi, H., Sulistyo, H., Rohmat, T.A.","57190405205; 53980377300; 11139494300; 54390143900","Investigation of the slow pyrolysis kinetics of oil palm solid waste by the distributed activation energy model",2020,"Biofuels",11,"6",,663,670,,1,10.1080/17597269.2017.1387750,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032480423&partnerID=40&md5=d501c53885f284751234da82d766806b",Article,Final,,Scopus,2-s2.0-85032480423
"Junaedi, A., Hardiwinoto, S., Supriyo, H., Mindawati, N.","57218917890; 7801630417; 6505616332; 10440484000","Litter productivity and leaf litter nutrient return of three native tree species in drained tropical peatland, Riau-Indonesia",2020,"IOP Conference Series: Earth and Environmental Science",533,"1", 012007,,,,,10.1088/1755-1315/533/1/012007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090781337&partnerID=40&md5=ce127029b3da4c7ed2cbe488f2af28e3",Conference Paper,Final,Open Access,Scopus,2-s2.0-85090781337
"Patra, G., Ghosh, S., Priyanka, Efimova, M.A., Sahara, A., Al-Awsi, G.R.L., Polley, S., Debbarma, A.","35885722700; 57210465331; 57218583006; 57192188377; 56385550900; 57202305366; 57207347976; 57196201229","Molecular detection of Coxiella burnetii and Borrelia burgdorferi in ticks infesting goats in North-Eastern states of India",2020,"International Journal of Acarology",46,"6",,431,438,,,10.1080/01647954.2020.1805000,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089673740&partnerID=40&md5=7427655517cd32b9b520f7db753d097c",Article,Final,,Scopus,2-s2.0-85089673740
"Minasny, B., Fiantis, D., Mulyanto, B., Sulaeman, Y., Widyatmanti, W.","6701436325; 6508079116; 7801350313; 49862318400; 57188872075","Response to comments on “global soil science research collaboration in the 21st Century: Time to end helicopter research”",2020,"Geoderma",373,"", 114303,,,,1,10.1016/j.geoderma.2020.114303,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85085343505&partnerID=40&md5=f456219f761b4ec26871cc6f89e2215f",Article,Final,,Scopus,2-s2.0-85085343505
"Minasny, B., Fiantis, D., Mulyanto, B., Sulaeman, Y., Widyatmanti, W.","6701436325; 6508079116; 7801350313; 49862318400; 57188872075","Global soil science research collaboration in the 21st century: Time to end helicopter research",2020,"Geoderma",373,"", 114299,,,,4,10.1016/j.geoderma.2020.114299,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85085278808&partnerID=40&md5=412e239c1a33fb2f948d5b285f709f4c",Article,Final,,Scopus,2-s2.0-85085278808
"Nguyen, V.-L., Colella, V., Greco, G., Fang, F., Nurcahyo, W., Hadi, U.K., Venturina, V., Tong, K.B.Y., Tsai, Y.-L., Taweethavonsawat, P., Tiwananthagorn, S., Tangtrongsup, S., Le, T.Q., Bui, K.L., Do, T., Watanabe, M., Rani, P.A.M.A., Dantas-Torres, F., Halos, L., Beugnet, F., Otranto, D.","57201595461; 56568153500; 7101640307; 56571991700; 57211711105; 7004202457; 6505802284; 57216960672; 35270509600; 6505741251; 36011320700; 6508220688; 57216960258; 57197767798; 57218591408; 8604371700; 57216960486; 8966709300; 6602351641; 7004329983; 7004513640","Molecular detection of pathogens in ticks and fleas collected from companion dogs and cats in East and Southeast Asia",2020,"Parasites and Vectors",13,"1", 420,,,,,10.1186/s13071-020-04288-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089711259&partnerID=40&md5=31007bbd188374f0a8e27c1ff0297a07",Article,Final,Open Access,Scopus,2-s2.0-85089711259
"Nareswari, A., Utari, S.A.","57200078971; 57219325032","Social Sustainability of Kampongs in the Transit-Oriented Development Area of Yogyakarta",2020,"IOP Conference Series: Earth and Environmental Science",532,"1", 012010,,,,,10.1088/1755-1315/532/1/012010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092241039&partnerID=40&md5=96e141a80ed906dbce962ab2d85e858d",Conference Paper,Final,Open Access,Scopus,2-s2.0-85092241039
"Hidayati, F., Gharini, P.P.R., Hartopo, A.B., Anggrahini, D.W., Dinarti, L.K.","57218554035; 8599256400; 36056281100; 35285645700; 57192908812","The effect of oral sildenafil therapy on health-related quality of life in adults with pulmonary arterial hypertension related to uncorrected secundum atrial septal defect: A quasi experimental study",2020,"Health and Quality of Life Outcomes",18,"1", 278,,,,,10.1186/s12955-020-01498-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089534030&partnerID=40&md5=1b9f1d52e2cf6c0834b275036b39f579",Article,Final,Open Access,Scopus,2-s2.0-85089534030
